,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
0,I began making fish curry for my boyfriend and I.,1,0,0,0,0,0,0,1
1,I decided not to read a recipe since I've made so many in my life.,1,1,0,0,0,0,0,1
2,I let the curry sit before tasting.,1,1,0,0,0,0,0,1
3,"When it was time to taste, I was disgusted.",0,0,1,1,0,1,1,0
4,I accidentally used a whole garlic instead of a whole onion.,0,0,0,1,1,1,1,0
5,Jervis has been single for a long time.,0,0,0,0,1,0,0,0
6,He wants to have a girlfriend.,0,0,0,0,1,0,0,0
7,One day he meets a nice girl at the grocery store.,1,0,0,1,0,0,0,1
8,They begin to date.,1,1,0,0,0,0,0,0
9,Jervis is happy that he is no longer single.,1,0,0,0,0,0,0,0
10,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,1,1,0
11,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,0,0,1,0
12,"That night, he turned the radio on and got into bed to go to sleep.",1,1,1,1,1,1,1,1
13,The radio played song after song all night long as Ray slumbered.,1,0,0,0,0,0,1,0
14,"In the morning, Ray was relieved to have forgotten the annoying tune.",1,0,0,1,0,0,0,0
15,Ferdinand had a talent no one could deny.,1,0,0,0,0,0,0,0
16,He was the best barista in the whole town.,0,0,0,0,0,0,0,0
17,People would line up and wait hours for his creations.,1,1,0,1,0,0,0,1
18,Everyone wanted the Ferdinand touch.,1,1,0,0,0,0,0,1
19,"He was proud, but hard working always pushing himself.",1,0,0,0,0,0,0,1
20,Danielle was really short on money.,0,0,1,1,0,1,0,1
21,She was trying to come up with extra money.,0,0,1,0,0,0,0,0
22,Someone suggested a garage sale.,1,0,0,0,0,0,0,1
23,She decided that was a great idea.,1,1,0,1,0,0,0,1
24,She made lots of money!,1,1,0,1,0,0,0,1
25,Manuel was having a difficult time paying his rent.,0,0,1,0,1,1,1,1
26,He knew that he would be evicted if he didn't figure something out.,0,0,1,0,1,0,0,1
27,He then remembered that his friend was looking for a house.,1,0,0,1,0,0,0,1
28,Manuel asked him to move in and be his roommate.,1,1,1,1,0,0,0,1
29,His friend agreed and Manuel kept his house.,1,1,0,0,0,0,0,0
30,Kija has been researching methods of healthy eating.,1,0,0,0,0,0,0,1
31,She finally settles on a meal replacement drink to start.,1,0,0,0,0,0,0,1
32,She orders a crate of soylent and is excited when it arrives.,1,0,0,1,0,0,0,0
33,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0,0,1,1,1,1,1,1
34,"Kija didn't know, but she's allergic to soy.",1,0,1,1,1,0,0,0
35,Billy noticed he had trouble reading the chalkboard in class.,0,0,1,0,1,0,0,1
36,He moved towards the front and he could read it perfectly.,1,0,0,0,0,0,0,1
37,He then visited an eye doctor to ask about this.,0,0,0,0,0,0,0,1
38,The doctor diagnosed him with myopia or nearsightedness.,0,0,0,1,0,0,0,0
39,John bought glasses and could see perfectly from then on.,1,1,0,0,0,0,0,0
40,Tom lived at a fraternity house.,0,0,0,0,0,0,0,0
41,They had a lot of parties.,0,0,0,0,0,0,0,0
42,They always had tons of empty cans afterward.,0,0,0,0,0,0,0,0
43,Tom would gather them up and take them to recycle.,1,1,0,0,0,0,0,0
44,He made a good amount of extra money that way.,1,0,0,0,0,0,0,0
45,Yoshio was 31 years old and played modern video games.,1,1,0,0,0,0,0,0
46,One day he had a hankering to play the old classic Nintendo.,1,0,0,0,0,0,0,1
